Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
40.0,1.0082214471407374e-14,0.0008787346221441124,0.04103266748395471,0.0,1492103,40,60.160887,25.092593,Meri Perttilän Polku
44.0,1.3575330549373255e-12,0.0026362038664323375,0.046763920279432915,0.013973194343329422,1492143,44,60.16404,25.07081,Rannikkolaivurintie
44.0,1.3575330549373255e-12,0.0026362038664323375,0.046763920279432915,0.013973194343329422,1492144,44,60.164,25.06984,Rannikkolaivurintie
46.0,3.0478686176214143e-13,0.0026362038664323375,0.04469405388421962,0.0052631334888314915,1492121,46,60.165093,25.075415,Puuskaniementie
46.0,3.0478686176214143e-13,0.0026362038664323375,0.04469405388421962,0.0052631334888314915,1492145,46,60.16544,25.07604,Hämeenapajantie
46.0,3.0478686176214143e-13,0.0026362038664323375,0.04469405388421962,0.0052631334888314915,1492146,46,60.16546,25.0758,Hämeenapajantie
296.0,7.072482848724415e-12,0.0026362038664323375,0.04902214181097613,0.016557926155377593,1492141,296,60.16448,25.06189,Takilatie
296.0,7.072482848724415e-12,0.0026362038664323375,0.04902214181097613,0.016557926155377593,1492142,296,60.16455,25.06189,Takilatie
38.0,5.531780213359384e-14,0.0008787346221441124,0.04278356329185308,0.0,1492100,38,60.161556,25.083062,Jollas Instituutti
48.0,5.560173020666868e-14,0.0017574692442882249,0.04278999811994736,0.003511847073898722,1492151,48,60.16611,25.08049,Kellaripellonpolku
48.0,5.560173020666868e-14,0.0017574692442882249,0.04278999811994736,0.003511847073898722,1492152,48,60.1661,25.07956,Kellaripellonpolku
47.0,1.0133982306124378e-14,0.0017574692442882249,0.04103858636855391,0.0017574692442882249,1492147,47,60.16808,25.08038,Puuskakuja
47.0,1.0133982306124378e-14,0.0017574692442882249,0.04103858636855391,0.0017574692442882249,1492148,47,60.16778,25.0805,Puuskakuja
49.0,1.7896183076114637e-15,0.0008787346221441124,0.03942217757300724,0.0,1492149,49,60.17061,25.07991,Puuskarinne
50.0,0.0018237429042270296,0.0026362038664323375,0.11063581567178689,0.006962000472198733,1370103,50,60.23991,24.97993,Isonpellontie
50.0,0.0018237429042270296,0.0026362038664323375,0.11063581567178689,0.006962000472198733,1370104,50,60.2399,24.97954,Isonpellontie
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370107,231,60.242171,24.993044,Pukinmäen asema
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370108,231,60.24167,24.9931,Pukinmäen asema
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370109,231,60.24398,24.99386,Eskolantie
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370110,231,60.24324,24.99451,Eskolantie
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370124,231,60.24372,24.994087,Pukinmäen asema
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370501,231,60.242475,24.993742,Pukinmäki
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1370551,231,60.242475,24.993742,Pukinmäki
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1382119,231,60.24318,24.99639,Eskolantie
231.0,0.00950643491077511,0.01054481546572935,0.12401918047079337,0.15874255496638154,1382120,231,60.24328,24.99679,Eskolantie
1121.0,0.0003599962429596505,0.0017574692442882249,0.09977204979835175,0.0009186378617774719,1284178,1121,60.23699,24.97454,Oulunkylän rantap.
51.0,1.619296834589165e-12,0.0017574692442882249,0.046752393081631816,0.007011328489086533,1510101,51,60.1551,25.04894,Hevossalmen silta
