,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1973,189,Metro Islas Filipinas,40.43876,-3.71302,1097,1097.0,2.3975414862103526e-05,0.001942690626517727,0.08747185521899827,0.003852096335859198
1974,190,Guzmán El Bueno - Fernández De Los Ríos,40.43586,-3.71323,1099,1099.0,6.7753133542016e-06,0.001942690626517727,0.08589545701055443,0.004344439393306054
1975,191,Guzmán El Bueno - Meléndez Valdés,40.43356,-3.71342,1100,1100.0,4.034760580855423e-06,0.0014570179698882952,0.08480230642504119,0.0016523017414795628
1976,192,Argüelles,40.43101,-3.71362,1848,1848.0,1.4109792665638036e-05,0.003399708596406022,0.0897597977243995,0.012177791628010007
1977,193,Princesa - Rey Francisco,40.42794,-3.71453,1847,1847.0,9.895251454703857e-06,0.0014570179698882952,0.0916659246727807,0.0073338126291931085
1978,194,Menéndez Pelayo - Menorca,40.41981,-3.67919,1459,1459.0,0.0011592910412987123,0.0009713453132588635,0.10215827338129496,0.0002900639776858884
1979,195,Menéndez Pelayo - Menorca,40.41963,-3.67937,1459,1459.0,0.0011592910412987123,0.0009713453132588635,0.10215827338129496,0.0002900639776858884
1982,199,Ibiza - Maiquez,40.4183,-3.67276,1456,1456.0,0.0010266485812773635,0.0009713453132588635,0.10575787148800657,1.7699440839265006e-06
1983,203,Mateo Inurria,40.4669,-3.68513,2106,2106.0,0.04165558402005051,0.0009713453132588635,0.10718933833099069,0.003828531544313833
1984,204,Mateo Inurria,40.46693,-3.68559,2106,2106.0,0.04165558402005051,0.0009713453132588635,0.10718933833099069,0.003828531544313833
1985,205,Avenida Del Recuerdo,40.46743,-3.68154,962,962.0,0.007777627215387852,0.0014570179698882952,0.09736145261963307,0.0029230061863029662
1986,206,Avenida Del Recuerdo,40.46762,-3.68117,962,962.0,0.007777627215387852,0.0014570179698882952,0.09736145261963307,0.0029230061863029662
1987,207,Duque De Pastrana,40.46759,-3.67962,963,963.0,0.0018219290781468385,0.0014570179698882952,0.08948283355063016,0.000579775608255878
1988,208,Nunciatura,40.46739,-3.67525,964,964.0,0.0007188857255344748,0.0014570179698882952,0.08710182325817505,0.0010099736664650227
