stop_id,stop_id_to,travel_duration
F03160,F03161,14.691472534576093
F03161,F03160,14.691472534576093
F03160,F03162,10.314819512053036
F03162,F03160,10.314819512053036
F03161,F03162,5.177813689916093
F03162,F03161,5.177813689916093
009376,F03163,5.54382144709355
F03163,009376,5.54382144709355
009376,F03164,9.303962201739779
F03164,009376,9.303962201739779
009376,F03165,10.737316558592772
F03165,009376,10.737316558592772
F03163,F03164,3.7644211060627475
F03164,F03163,3.7644211060627475
F03163,F03165,16.278076525218232
F03165,F03163,16.278076525218232
F03164,F03165,20.040645897603664
F03165,F03164,20.040645897603664
009415,F03167,3.4047248059323265
F03167,009415,3.4047248059323265
F03191,F03192,9.58597065202942
F03192,F03191,9.58597065202942
F03193,F03194,20.393311372896356
F03194,F03193,20.393311372896356
F03134,F03135,2.1582258756899626
F03135,F03134,2.1582258756899626
F03136,F03137,11.0906142677104
F03137,F03136,11.0906142677104
F03140,F03141,11.226095424278597
F03141,F03140,11.226095424278597
F03138,F03139,20.429190275595424
F03139,F03138,20.429190275595424
F03195,F03196,3.226826378459228
F03196,F03195,3.226826378459228
F03185,F03186,3.340956036753254
F03186,F03185,3.340956036753254
F03096,F03097,10.170132996198278
F03097,F03096,10.170132996198278
F03096,F03098,6.920615381773726
F03098,F03096,6.920615381773726
F03096,F03099,6.595831030072806
F03099,F03096,6.595831030072806
F03097,F03098,7.7136667276611135
F03098,F03097,7.7136667276611135
F03097,F03099,7.346265965854501
F03099,F03097,7.346265965854501
F03098,F03099,10.000966361767189
F03099,F03098,10.000966361767189
008245,F03092,8.969297340131709
F03092,008245,8.969297340131709
F03205,F03206,10.129215017599735
F03206,F03205,10.129215017599735
F03094,F03095,7.716071463957807
F03095,F03094,7.716071463957807
F03187,F03188,9.4357198690459
F03188,F03187,9.4357198690459
F03100,F03101,7.292652957497527
F03101,F03100,7.292652957497527
F03189,F03190,1.8083991406127184
F03190,F03189,1.8083991406127184
008385,F03102,5.543610347620021
F03102,008385,5.543610347620021
008385,F03103,7.6465536783323085
F03103,008385,7.6465536783323085
F03102,F03103,10.172198247619063
F03103,F03102,10.172198247619063
F03104,F03105,16.56029424867547
F03105,F03104,16.56029424867547
F03106,F03107,2.1160870524708972
F03107,F03106,2.1160870524708972
F03106,F03108,10.232657827544962
F03108,F03106,10.232657827544962
F03106,F03109,13.521483041369711
F03109,F03106,13.521483041369711
F03106,F03110,10.604885531502005
F03110,F03106,10.604885531502005
F03106,F03111,9.627407975085966
F03111,F03106,9.627407975085966
F03107,F03108,11.812397088280726
F03108,F03107,11.812397088280726
F03107,F03109,12.456388492112103
F03109,F03107,12.456388492112103
F03107,F03110,11.594081535344833
F03110,F03107,11.594081535344833
F03107,F03111,9.003942997836583
F03111,F03107,9.003942997836583
F03108,F03109,15.269366924183098
F03109,F03108,15.269366924183098
F03108,F03110,3.9154644803017704
F03110,F03108,3.9154644803017704
F03108,F03111,11.081605565749111
F03111,F03108,11.081605565749111
F03109,F03110,11.811904243151506
F03110,F03109,11.811904243151506
F03109,F03111,4.457723871773373
F03111,F03109,4.457723871773373
F03110,F03111,7.986797662311544
F03111,F03110,7.986797662311544
F03130,F03131,6.57825915330131
F03131,F03130,6.57825915330131
008341,F03133,12.362025781259856
F03133,008341,12.362025781259856
F03201,F03202,11.621613042454753
F03202,F03201,11.621613042454753
008903,F03144,17.325020947200013
F03144,008903,17.325020947200013
008903,F03145,3.6061514853114764
F03145,008903,3.6061514853114764
008903,F03146,14.75881837411791
F03146,008903,14.75881837411791
008903,F03147,8.552636105099877
F03147,008903,8.552636105099877
008903,F03148,14.201395981238727
F03148,008903,14.201395981238727
F03144,F03145,17.64328338817939
F03145,F03144,17.64328338817939
F03144,F03146,7.9705862153835225
F03146,F03144,7.9705862153835225
F03144,F03147,12.052894427633166
F03147,F03144,12.052894427633166
F03144,F03148,19.866775504968874
F03148,F03144,19.866775504968874
F03145,F03146,13.438685341345462
F03146,F03145,13.438685341345462
F03145,F03147,6.785819649101886
F03147,F03145,6.785819649101886
F03145,F03148,10.6954826931307
F03148,F03145,10.6954826931307
F03146,F03147,6.663597653997006
F03147,F03146,6.663597653997006
F03146,F03148,12.27864057102808
F03148,F03146,12.27864057102808
F03147,F03148,9.094023959545671
F03148,F03147,9.094023959545671
F03153,F03154,18.331188429787616
F03154,F03153,18.331188429787616
F03153,F03155,9.492314280704221
F03155,F03153,9.492314280704221
F03153,F03156,15.836144596403686
F03156,F03153,15.836144596403686
F03154,F03155,8.944987608195525
F03155,F03154,8.944987608195525
F03154,F03156,2.7755990397692893
F03156,F03154,2.7755990397692893
F03155,F03156,6.3565635304779535
F03156,F03155,6.3565635304779535
F03151,F03152,18.61275707554576
F03152,F03151,18.61275707554576
F03149,F03150,6.39063976126969
F03150,F03149,6.39063976126969
F02988,F02989,11.923276762093817
F02989,F02988,11.923276762093817
F02988,F02990,18.293337975522853
F02990,F02988,18.293337975522853
F02989,F02990,27.667530385672247
F02990,F02989,27.667530385672247
F03142,F03143,12.913951990461427
F03143,F03142,12.913951990461427
F03199,F03200,11.289447606307977
F03200,F03199,11.289447606307977
F03197,F03198,26.83321901883822
F03198,F03197,26.83321901883822
F02806,F02807,17.65746127305385
F02807,F02806,17.65746127305385
108430,F02847,13.732616819873622
F02847,108430,13.732616819873622
F02844,F02845,10.99321249247739
F02845,F02844,10.99321249247739
F02913,F02914,12.447999813594274
F02914,F02913,12.447999813594274
F02850,F02851,4.118467529433457
F02851,F02850,4.118467529433457
F02848,F02849,6.394695673792016
F02849,F02848,6.394695673792016
F02941,F02942,5.660670027017183
F02942,F02941,5.660670027017183
F02809,F02810,6.579688492014275
F02810,F02809,6.579688492014275
F03361,F03362,11.507751045364042
F03362,F03361,11.507751045364042
F03263,F03264,21.31373264117968
F03264,F03263,21.31373264117968
F03263,F03265,16.09015561100435
F03265,F03263,16.09015561100435
F03264,F03265,18.981257297249137
F03265,F03264,18.981257297249137
F03369,F03370,12.340964010914327
F03370,F03369,12.340964010914327
F02690,F03281,8.778580004721654
F03281,F02690,8.778580004721654
F03279,F03280,4.743931791706305
F03280,F03279,4.743931791706305
F03276,F03277,14.41418010382205
F03277,F03276,14.41418010382205
F03276,F03278,15.675344600784001
F03278,F03276,15.675344600784001
F03277,F03278,12.006969560627267
F03278,F03277,12.006969560627267
F03363,F03364,6.7617308492715695
F03364,F03363,6.7617308492715695
F03266,F03267,9.818183463920608
F03267,F03266,9.818183463920608
F03266,F03268,5.199005620463378
F03268,F03266,5.199005620463378
F03266,F03269,9.223633949319582
F03269,F03266,9.223633949319582
F03267,F03268,12.096337193856929
F03268,F03267,12.096337193856929
F03267,F03269,12.900574527257259
F03269,F03267,12.900574527257259
F03268,F03269,14.38865655687634
F03269,F03268,14.38865655687634
F03371,F03372,14.905223940188614
F03372,F03371,14.905223940188614
009381,F03282,16.996135698919023
F03282,009381,16.996135698919023
009381,F03283,2.7892091515999584
F03283,009381,2.7892091515999584
F03282,F03283,14.62904984725693
F03283,F03282,14.62904984725693
F02934,F02935,8.07691029989194
F02935,F02934,8.07691029989194
F02780,F02781,5.967409391696796
F02781,F02780,5.967409391696796
F02780,F02782,12.177720042590579
F02782,F02780,12.177720042590579
F02781,F02782,10.28441490466347
F02782,F02781,10.28441490466347
F02777,F02778,7.5403290162670675
F02778,F02777,7.5403290162670675
F02777,F02779,5.682881486809099
F02779,F02777,5.682881486809099
F02778,F02779,2.5816048401238767
F02779,F02778,2.5816048401238767
009498,009499,21.59916351195486
009499,009498,21.59916351195486
009498,F02775,17.80875569306499
F02775,009498,17.80875569306499
009498,F02776,19.81146968178658
F02776,009498,19.81146968178658
009499,F02775,15.396062081898284
F02775,009499,15.396062081898284
009499,F02776,20.883104985195047
F02776,009499,20.883104985195047
F02775,F02776,5.497529784906421
F02776,F02775,5.497529784906421
F02783,F02784,13.581975091762686
F02784,F02783,13.581975091762686
F02783,F02785,6.712829814311995
F02785,F02783,6.712829814311995
F02784,F02785,10.390885845011624
F02785,F02784,10.390885845011624
F02932,F02933,6.68807154595533
F02933,F02932,6.68807154595533
F02786,F02787,8.385550905418835
F02787,F02786,8.385550905418835
F02786,F02788,16.740615014541135
F02788,F02786,16.740615014541135
F02786,F02789,21.929659379400007
F02789,F02786,21.929659379400007
F02787,F02788,8.849590993033972
F02788,F02787,8.849590993033972
F02787,F02789,16.117062662773662
F02789,F02787,16.117062662773662
F02788,F02789,17.50194454781976
F02789,F02788,17.50194454781976
F02938,F02939,11.487573107532084
F02939,F02938,11.487573107532084
F02936,F02937,16.766713081279843
F02937,F02936,16.766713081279843
F01860,F01861,4.905854438403721
F01861,F01860,4.905854438403721
F01860,F01862,7.9648621157565085
