,stop_id,stop_name,stop_lat,stop_lon,clust,Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality
1934,F00944,Bajcsy-Zsilinszky út M,47.49995,19.055543,2568,2568.0,0.003161822862292934,0.00046392948271862676,0.06182794631287531,0.0003247521891652653
1935,F00945,Bajcsy-Zsilinszky út M,47.500363,19.055954,2568,2568.0,0.003161822862292934,0.00046392948271862676,0.06182794631287531,0.0003247521891652653
1937,F00950,Deák Ferenc tér M,47.496945,19.055715,2684,2684.0,0.01264404634751953,0.0016237531895151936,0.0661720878810365,0.05576669177809696
1938,F00951,Ferenciek tere M,47.492925,19.055343,2646,2646.0,0.014481740548980234,0.001159823706796567,0.0678172175922624,0.10016481033958143
1953,F00966,Vigadó tér,47.495569,19.048402,2654,2654.0,0.00035306128360993073,0.00046392948271862676,0.0589004976478608,0.0027214392749866116
1954,F00967,Vigadó tér,47.495614,19.048322,2655,2655.0,0.00035306128360993073,0.00046392948271862676,0.0589004976478608,0.002721439274986612
1955,F00968,"Országház, látogatóközpont",47.50915,19.04677,2582,2582.0,5.311474322796245e-06,0.00023196474135931338,0.04959141797566496,0.0
1956,F00969,"Országház, látogatóközpont",47.508853,19.046584,2583,2583.0,5.553049223442397e-06,0.00046392948271862676,0.04959271522945735,0.00043508189539412747
1957,F00970,Kossuth Lajos tér M,47.505975,19.049332,2575,2575.0,2.5465669420582085e-05,0.0020876826722338203,0.052359432108696854,0.009385927124594831
1958,F00971,Kossuth Lajos tér M,47.505732,19.046836,2575,2575.0,2.5465669420582085e-05,0.0020876826722338203,0.052359432108696854,0.009385927124594831
1959,F00972,Kossuth Lajos tér M,47.505679,19.047288,2575,2575.0,2.5465669420582085e-05,0.0020876826722338203,0.052359432108696854,0.009385927124594831
1960,F00973,Széchenyi István tér,47.50066,19.04608,2689,2689.0,2.1611223545403092e-05,0.00046392948271862676,0.05318120868456444,0.0019851948161038746
1961,F00974,Széchenyi István tér,47.500714,19.046173,2690,2690.0,2.1611223545403092e-05,0.00046392948271862676,0.05318120868456444,0.0019851948161038746
1962,F00975,Eötvös tér,47.497827,19.047168,2693,2693.0,7.814771203177779e-05,0.00046392948271862676,0.0555587233769509,0.0023219638750874667
1963,F00976,Eötvös tér,47.497944,19.047022,2694,2694.0,7.814771203177779e-05,0.00046392948271862676,0.0555587233769509,0.0023219638750874663
1964,F00979,József nádor tér,47.498726,19.050221,2696,2696.0,0.002763173995131136,0.00046392948271862676,0.06190769565176077,0.0036511878184279484
1965,F00980,Erzsébet tér,47.498645,19.051535,2698,2698.0,0.0006917852715745391,0.00046392948271862676,0.0593727198581847,0.004751412327593813
1966,F00981,Hild tér,47.498969,19.050911,2697,2697.0,0.0027641365233658875,0.00046392948271862676,0.06194714147796679,0.0031375067689180256
1967,F00982,Szervita tér,47.495371,19.052782,2662,2662.0,0.0031647678750474193,0.00046392948271862676,0.06331041301692088,0.00517895940540319
1968,F00983,Ferenciek tere M,47.492934,19.056007,2646,2646.0,0.014481740548980234,0.001159823706796567,0.0678172175922624,0.10016481033958143
1969,F00985,Deák Ferenc tér M,47.497638,19.053021,2684,2684.0,0.01264404634751953,0.0016237531895151936,0.0661720878810365,0.05576669177809696
1970,F00986,Zrínyi utca,47.499679,19.049464,2699,2699.0,1.802862266135454e-05,0.00046392948271862676,0.05280129000951666,0.0002930958184555928
1971,F00990,Markó utca,47.509123,19.051164,2584,2584.0,5.708212689669458e-06,0.00046392948271862676,0.04973191463476025,0.00022435082332556623
1972,F00991,Markó utca,47.508817,19.049518,2585,2585.0,9.852409926658832e-06,0.00046392948271862676,0.05096660576091661,0.0020880758576367403
1976,F01000,Március 15. tér,47.490694,19.051654,2650,2650.0,0.0016145749780745915,0.00046392948271862676,0.06277583833747337,0.0031468873678973733
1978,F01004,Ferenciek tere M,47.492907,19.054534,2646,2646.0,0.014481740548980234,0.001159823706796567,0.0678172175922624,0.10016481033958143
1979,F01005,Kálvin tér M,47.489219,19.061248,2326,2326.0,0.018254882444982027,0.001855717930874507,0.06888292552608577,0.11959464613835055
1980,F01006,Kálvin tér M,47.489461,19.061486,2326,2326.0,0.018254882444982027,0.001855717930874507,0.06888292552608577,0.11959464613835055
1981,F01007,Kálvin tér M,47.489074,19.062694,2326,2326.0,0.018254882444982027,0.001855717930874507,0.06888292552608577,0.11959464613835055
1982,F01010,Kálvin tér M,47.49001,19.061978,2326,2326.0,0.018254882444982027,0.001855717930874507,0.06888292552608577,0.11959464613835055
1983,F01011,Kálvin tér M,47.490109,19.060783,2326,2326.0,0.018254882444982027,0.001855717930874507,0.06888292552608577,0.11959464613835055
1984,F01012,Astoria M,47.494561,19.059696,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1985,F01013,Astoria M,47.49412,19.060147,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1986,F01014,Astoria M,47.493635,19.060134,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1987,F01015,Astoria M,47.494021,19.06036,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1988,F01016,Astoria M,47.494408,19.060983,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1989,F01017,Astoria M,47.494606,19.060718,2295,2295.0,0.03688189677403794,0.001159823706796567,0.06918709989568804,0.15686714297792453
1992,F01020,Széchenyi utca,47.503142,19.048522,2692,2692.0,9.07181508063683e-06,0.00046392948271862676,0.0508129273061296,6.816318907925067e-05
1993,F01021,Hercegprímás utca,47.502261,19.051986,2572,2572.0,0.00015200724791408275,0.00046392948271862676,0.055938223973317665,0.00432966885332889
1994,F01022,Hold utca (Belvárosi piac),47.505148,19.052398,2559,2559.0,3.7015870494181536e-05,0.00046392948271862676,0.053264882146286316,0.003993543139450995
1995,F01023,Nyugati pályaudvar M,47.511524,19.056686,2616,2616.0,0.006433867923062227,0.0020876826722338203,0.06297498107564303,0.11125540401114536
